created_at,created_by,message,team
2017-04-07T23:45:25Z,user1,Final report march,team1
2017-04-06T04:38:08Z,user2,final classes voice tested,team1
2017-03-09T01:43:55Z,user1,code clean up and Kairos consts separation,team1
2017-03-08T06:56:34Z,user2,"databse connection

save all fields in database..working on voice",team1
2017-03-08T05:06:52Z,user1,parseJSON method and existing face check,team1
2017-03-08T03:36:17Z,user1,buildResponse method added,team1
2017-03-07T02:52:01Z,,Attendance_Viewing,team1
2017-03-03T19:33:26Z,user2,"Update db pi voice

reading sound file.....confusion...",team1
2017-03-02T04:56:37Z,user2,"pi voice

changes",team1
2017-03-02T02:57:34Z,user2,"db test 

added H2 database....trying multiple tools,...",team1
2017-03-02T00:17:57Z,user2,"databse pi voice

Java example that will be used for database connectivity...work in
progress will be further enhanced.",team1
2017-03-01T16:20:08Z,user2,"Applet including voice retrieval

in connection to my last codes for the GUI",team1
2017-03-01T01:14:44Z,user3,Add files via upload,team1
2017-03-01T00:22:29Z,user1,Feb report,team1
2017-02-28T23:38:57Z,user2,"Alokozai Voice Report

Req Documents for Pi Voice-Alokozai",team1
2017-02-28T22:55:09Z,user1,Facial recognition progress report,team1
2017-02-28T22:14:08Z,user3,Add files via upload,team1
2017-02-28T22:11:48Z,user3,Add files via upload,team1
2017-02-28T11:13:43Z,user3,Add files via upload,team1
2017-02-28T02:24:07Z,user3,Add files via upload,team1
2017-02-28T01:29:21Z,user3,Add files via upload,team1
2017-02-23T19:58:57Z,user2,New Folder,team1
2017-02-23T20:05:41Z,user2,Delete Alokozai-SE-PIVOICE,team1
2017-02-23T20:05:18Z,user2,"Alokozai 

GUI",team1
2017-02-23T09:42:46Z,user3,Create Lang Info,team1
2017-02-23T09:37:14Z,user3,Add files via upload,team1
2017-02-23T09:36:07Z,user3,"Create Other information

Language, IDE decision processes",team1
2017-02-23T09:26:52Z,user3,Update Requirements,team1
2017-02-23T09:22:46Z,user3,Update Requirements,team1
2017-02-23T09:07:22Z,user3,Update Requirements,team1
2017-02-23T08:58:08Z,user3,"Create Requirements

This is to describe the requirements for the ""engagement/quiz"" implementation.",team1
2017-02-21T21:10:24Z,user1,App refinement,team1
2017-02-19T01:30:10Z,user1,Base64 and REST api,team1
2017-02-18T19:53:36Z,,photo capturing,team1
2017-02-15T19:39:28Z,user1,Screenshot of response of the above tests,team1
2017-02-15T19:38:37Z,user1,Enroll  and verify of image,team1
2017-02-01T02:13:18Z,user3,Add files via upload,team1
2017-02-01T02:09:34Z,user3,Add files via upload,team1
2017-01-31T02:47:45Z,user3,Add files via upload,team1
2017-01-31T02:46:54Z,user1,Update abstract.MD,team1
2017-01-31T02:46:04Z,user1,abstract,team1
2017-01-31T02:45:36Z,user3,Add files via upload,team1
2017-01-30T23:09:09Z,user3,Create User testing Comments,team1
2017-01-23T21:32:07Z,user3,Create Proffesor Survey.MD,team1
2017-01-23T02:03:05Z,user3,Add files via upload,team1
2017-01-23T02:00:39Z,user3,Update Attendance Management-More lit Review.MD,team1
2017-01-23T01:57:47Z,user3,Update Attendance Management-More lit Review.MD,team1
2017-01-23T01:54:32Z,user3,Update Attendance Management-More lit Review.MD,team1
2017-01-23T01:50:39Z,user3,Update Attendance Management-More lit Review.MD,team1
2017-01-23T01:42:42Z,user3,"Create Attendance Management-More lit Review.MD

This has three new paper reviews",team1
2017-01-22T18:29:00Z,user1,attendance mgmt system literature review,team1
2017-01-22T04:16:46Z,user2,"Add files via upload

Just a file for our record.",team1
2017-01-22T04:14:30Z,user2,Update G4C.MD,team1
2017-01-22T04:13:13Z,user2,"Update G4C.MD

Literature review: Qaiss",team1
2017-01-19T20:18:01Z,user1,Update visitor-management.MD,team1
2017-01-19T20:16:30Z,user1,visitor management papers/implementations,team1
2017-01-19T02:14:09Z,user1,G4C idea,team1
2017-01-18T20:43:11Z,user2,"Add files via upload

Ideas for project",team1
2017-01-12T18:54:11Z,user1,Correcting members names,team1
2017-01-12T18:51:57Z,user1,Adding team member names,team1
2017-01-12T18:47:32Z,user1,Initial commit,team1
2017-03-26T18:06:31Z,user1,"Merge pull request #88 from SE17GroupH/sid

Features and bug fixes",team2
2017-03-26T17:55:38Z,user1,Remove confirmation mail link code,team2
2017-03-26T17:50:34Z,user1,Remove code for confirmation mail opening in app,team2
2017-03-26T17:47:00Z,user1,rebuild the project,team2
2017-03-26T17:45:11Z,user1,rebuild the project,team2
2017-03-13T04:57:48Z,user1,"Merge pull request #86 from SE17GroupH/sid

Bug fixes and more Features",team2
2017-03-11T22:05:41Z,user1,add clear instructions,team2
2017-03-11T21:54:37Z,user1,add changelog,team2
2017-03-09T04:13:21Z,user1,Fix lot of bugs. Implement features.,team2
2017-03-08T19:16:59Z,user1,Update README.md,team2
2017-03-08T08:28:44Z,user1,update readme. remove old keystore,team2
2017-03-08T08:21:54Z,user1,change to optimize,team2
2017-03-08T07:37:56Z,user1,Update README.md,team2
2017-03-08T07:37:21Z,user1,Update README.md,team2
2017-03-08T07:00:07Z,user1,Update .travis.yml,team2
2017-03-08T06:55:04Z,user1,Fix travis to only deploy via master on tag,team2
2017-03-08T06:37:07Z,user1,Merge branch 'sid',team2
2017-03-08T06:36:53Z,user1,fix signing apk release to deploy,team2
2017-03-08T04:52:21Z,user1,Merge branch 'master' of https://github.com/SE17GroupH/Zap,team2
2017-03-08T04:52:10Z,user1,travis deploys signed apk fix,team2
2017-03-08T04:27:22Z,user1,"Merge pull request #81 from SE17GroupH/sid

Sid",team2
2017-03-08T04:21:54Z,user1,Merge branch 'master' into sid,team2
2017-03-08T04:20:35Z,user1,travis deploys signed apk,team2
2017-03-08T04:03:57Z,user1,"Merge pull request #80 from SE17GroupH/sid

Sid",team2
2017-03-08T03:53:53Z,user1,travis deploys signed apk,team2
2017-03-08T03:41:34Z,user1,add keystore for releases signed with travis,team2
2017-03-08T02:46:35Z,user1,"Merge pull request #78 from SE17GroupH/sid

Onwards to version 2",team2
2017-03-08T02:42:39Z,user1,restrict release deployment to master branch,team2
2017-03-08T02:22:35Z,user1,fix apk path in travis,team2
2017-03-08T02:12:47Z,user1,fix apk path in travis,team2
2017-03-08T02:02:15Z,user1,fix apk path in travis,team2
2017-03-08T01:31:47Z,user1,Merge branch 'master' into sid,team2
2017-03-08T01:18:08Z,user1,More tests. Add apk deploy from travis,team2
2017-03-07T22:57:20Z,user2,added screenshots and minor formatting,team2
2017-03-07T22:49:12Z,user2,"Merge pull request #77 from SE17GroupH/kg

low res screenshots",team2
2017-03-07T22:48:10Z,user2,low res screenshots,team2
2017-03-07T22:42:09Z,user2,"Merge pull request #76 from SE17GroupH/kg

added screenshots",team2
2017-03-07T22:41:42Z,user2,added screenshots,team2
2017-03-07T22:31:17Z,user2,"Merge pull request #75 from SE17GroupH/kg

fix incorrect voice-phrase crash",team2
2017-03-07T22:22:44Z,user2,fix incorrect voice-phrase crash,team2
2017-03-07T22:16:36Z,user1,fix conflicts,team2
