assignee,assignees,body,closed_at,comments,created_at,created_by,id,labels,milestone_closed_at,milestone_created_at,milestone_due_on,milestone_id,milestone_number,milestone_updated_at,number,state,team,title,updated_at
,,Check prior to enrollment if the image is already enrolled under another student,,0,2017-03-08T03:24:21Z,user1,212627458,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,30,open,team1,Existing enrollment,2017-03-08T03:24:21Z
,,"- Separate out certain repetitive methods
- buildRequest()
- parseJSONResponse()",,0,2017-03-08T03:22:35Z,user1,212627230,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,29,open,team1,General refactor #1,2017-03-08T03:22:35Z
,,,2017-03-08T03:17:57Z,1,2017-03-08T03:16:14Z,user1,212626410,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,28,closed,team1,FR Impl #5 : View Daily Attendance,2017-03-08T03:17:57Z
,,"- low number of commits from all group members (am I reading this right? less than 5)
- I'm seeing doing, doing, done in ""facial Recognition"" but not so much in the other sections of the project. 

looking forward to see what bits actually run in the demos, after the spring break.",,0,2017-03-01T14:48:15Z,timm,211102550,,,,,,,,27,open,team1,some interesting patterns in your work,2017-03-01T14:48:15Z
user1,"['user1', 'user3', 'user2']","We each need to write one page report about our implementations.

Use requirements, functionality, and other documentation created so far to create them.

",2017-03-01T00:58:25Z,6,2017-02-27T02:36:40Z,user3,210373781,,,2017-02-07T21:54:07Z,2017-02-26T08:00:00Z,2307044.0,8.0,2017-03-01T00:58:25Z,26,closed,team1,Report,2017-03-01T00:58:25Z
user1,"['user1', 'user3', 'user2']",How will the view from the professor be different? what capabilities are you giving them vs. the students?,2017-03-01T00:59:48Z,5,2017-02-27T02:20:12Z,user3,210372075,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,25,closed,team1,Professor side,2017-03-01T00:59:49Z
user3,['user3'],"Engagement implementation files will be updated and contained within the Engagement folder under the master branch in Code
",,1,2017-02-27T02:11:19Z,user3,210371223,,,,,,,,24,open,team1,Finish and complete Engagement Implementation,2017-03-01T00:57:49Z
user1,"['user1', 'user3', 'user2']","How do you all handle login? Face rec. didn't have any at all, but it should for admin/professors at least?
",2017-02-28T03:43:11Z,7,2017-02-27T02:08:36Z,user3,210370964,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,23,closed,team1,Log in implementation,2017-02-28T03:43:11Z
user1,"['user1', 'user3', 'user2']","If we can't load/migrate Database into GitHub for others to download and use the data, we need to create it ourselves. 

",2017-03-01T01:00:28Z,7,2017-02-27T02:06:26Z,user3,210370776,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,22,closed,team1,Creating SQL script to recreate database from github,2017-03-01T01:00:28Z
user3,"['user3', 'user2']","in process reviewing codes for GUI+Database!! 
How it works??
Get the functionalities in place????
What else???
Did not understand?????",,9,2017-02-27T00:15:58Z,user2,210361632,[u'enhancement'],,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,21,open,team1,Database + GUI ,2017-03-09T05:39:08Z
