,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,labeled,thegreyd,[u'thegreyd'],1,1492569534.0,1487305436.0,1487261694.0,28,[u'5319e7'],[u'requirement'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Remember state. Save auth token inside app.,DevArenaCN
1,labeled,thegreyd,[u'thegreyd'],1,1492569528.0,1487305207.0,1487261700.0,29,[u'5319e7'],[u'requirement'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Implement Logout call,DevArenaCN
2,labeled,thegreyd,[u'thegreyd'],1,1492569521.0,1487268445.0,1487261705.0,30,[u'5319e7'],[u'requirement'],None,None,None,None,None,None,Parse JSON from API calls,DevArenaCN
3,labeled,thegreyd,[u'thegreyd'],1,1492569514.0,1487274291.0,1487271657.0,31,[u'5319e7'],[u'requirement'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Redirect from Fingerprint to Profile page,DevArenaCN
4,labeled,[],[],1,1492569501.0,1488380538.0,1487902000.0,62,[u'5319e7'],[u'requirement'],None,None,None,None,None,None,schedule,DevArenaCN
5,labeled,[],[],0,1492569464.0,1488654165.0,1488379860.0,63,[u'5319e7'],[u'feedback'],None,None,None,None,None,None,thanks for the feb report,DevArenaCN
6,closed,thegreyd,"[u'thegreyd', u'KaustubhG']",5,1492114509.0,1492114509.0,1487575162.0,50,"[u'ee0701', u'd93f0b']","[u'bug', u'mediumpriority']",None,994763.0,v3,None,1488998437.0,1489993200.0,Fingerprint App crash,thegreyd
7,closed,thegreyd,[u'thegreyd'],2,1492114490.0,1492114490.0,1488945509.0,79,"[u'84b6eb', u'd93f0b']","[u'enhancement', u'mediumpriority']",None,None,None,None,None,None,App icon and logo,thegreyd
8,closed,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1492114473.0,1492114473.0,1489019265.0,84,[u'd93f0b'],[u'mediumpriority'],None,994763.0,v3,None,1488998437.0,1489993200.0,Confirmation mail doesn't open inside the app,thegreyd
9,closed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1492114453.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,thegreyd
10,closed,thegreyd,[u'thegreyd'],3,1492114420.0,1492114420.0,1489029725.0,85,[u'ee0701'],[u'bug'],None,994763.0,v3,None,1488998437.0,1489993200.0,No Internet Connection App Crash,thegreyd
11,closed,[],[],0,1490551592.0,1490551592.0,1490551025.0,88,[],[],None,None,None,None,None,None,Features and bug fixes,thegreyd
12,merged,[],[],0,1490551592.0,1490551592.0,1490551025.0,88,[],[],None,None,None,None,None,None,Features and bug fixes,thegreyd
13,referenced,[],[],0,1490551592.0,1490551592.0,1490551025.0,88,[],[],None,None,None,None,None,None,Features and bug fixes,thegreyd
14,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490131190.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,KaustubhG
15,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490131190.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,KaustubhG
16,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490131190.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,thegreyd
17,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490131190.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,thegreyd
18,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,KaustubhG
19,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1490033335.0,1492114453.0,1490033335.0,87,"[u'd93f0b', u'cc317c']","[u'mediumpriority', u'question']",None,1945032.0,v4,None,1488998568.0,1490943600.0,User eval,DevArenaCN
